Step 22040/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.6 steps/s | 79.50 ms/step | ETA: 13249735.8 min
Step 22045/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.5 steps/s | 79.71 ms/step | ETA: 13284912.1 min
Step 22050/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.5 steps/s | 79.81 ms/step | ETA: 13301467.8 min
Step 22055/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.5 steps/s | 79.91 ms/step | ETA: 13318146.8 min
Step 22060/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.5 steps/s | 80.01 ms/step | ETA: 13335635.1 min
Step 22065/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.5 steps/s | 80.12 ms/step | ETA: 13353135.9 min
Step 22070/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.5 steps/s | 80.23 ms/step | ETA: 13371252.0 min
Step 22075/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.4 steps/s | 80.33 ms/step | ETA: 13388505.0 min
Step 22080/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.4 steps/s | 80.43 ms/step | ETA: 13405178.8 min
Step 22085/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.4 steps/s | 80.54 ms/step | ETA: 13422529.0 min
Step 22090/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.4 steps/s | 80.64 ms/step | ETA: 13440048.9 min
Step 22095/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.4 steps/s | 80.85 ms/step | ETA: 13475411.2 min
Step 22100/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.4 steps/s | 80.96 ms/step | ETA: 13493238.3 min
Step 22105/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.07 ms/step | ETA: 13510908.8 min
Step 22110/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.18 ms/step | ETA: 13530385.3 min
Step 22115/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.30 ms/step | ETA: 13549411.7 min
Step 22120/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.45 ms/step | ETA: 13574344.7 min
Step 22125/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.3 steps/s | 81.56 ms/step | ETA: 13593491.3 min
Step 22130/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.2 steps/s | 81.67 ms/step | ETA: 13610955.0 min
Step 22135/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.2 steps/s | 81.77 ms/step | ETA: 13628513.8 min
Step 22140/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.2 steps/s | 81.88 ms/step | ETA: 13646021.0 min
Step 22145/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.2 steps/s | 82.09 ms/step | ETA: 13681323.9 min
Step 22150/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.2 steps/s | 82.19 ms/step | ETA: 13698929.1 min
Step 22155/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.1 steps/s | 82.31 ms/step | ETA: 13717689.3 min
Step 22160/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.1 steps/s | 82.41 ms/step | ETA: 13735607.6 min
Step 22165/10000000000 | t=1.11e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.1 steps/s | 82.53 ms/step | ETA: 13754379.5 min
